Station,Year,Month,Day,Daily Rainfall Total (mm),Highest 30 min Rainfall (mm),Highest 60 min Rainfall (mm),Highest 120 min Rainfall (mm),Mean Temperature (°C),Maximum Temperature (°C),Minimum Temperature (°C),Mean Wind Speed (km/h),Max Wind Speed (km/h)
Changi,2025,1,1,     4.2,     2.6,     4.2,     4.2,    27.4,    31.5,    25.1,    10.5,    35.2
Changi,2025,1,2,     0.0,     0.0,     0.0,     0.0,    28.1,    31.5,    25.6,    14.0,    35.2
Changi,2025,1,3,     0.0,     0.0,     0.0,     0.0,    28.4,    32.5,    25.8,    15.0,    40.7
Changi,2025,1,4,     0.2,     0.2,     0.2,     0.2,    27.9,    31.2,    25.9,    14.6,    44.4
Changi,2025,1,5,     0.0,     0.0,     0.0,     0.0,    27.9,    31.7,    25.7,    17.6,    48.2
Changi,2025,1,6,     0.0,     0.0,     0.0,     0.0,    28.1,    31.4,    26.1,    19.1,    44.4
Changi,2025,1,7,     0.0,     0.0,     0.0,     0.0,    28.0,    32.3,    25.3,    15.0,    46.3
Changi,2025,1,8,     0.0,     0.0,     0.0,     0.0,    28.3,    32.2,    25.9,    16.4,    46.3
Changi,2025,1,9,     0.0,     0.0,     0.0,     0.0,    27.9,    31.8,    25.4,    17.7,    50.0
Changi,2025,1,10,   157.0,    23.2,    32.0,    51.6,    24.5,    26.5,    22.7,     9.5,    46.3
Changi,2025,1,11,    98.2,    18.2,    22.0,    36.2,    24.1,    25.3,    22.8,    10.5,    37.0
Changi,2025,1,12,    57.0,    15.4,    20.0,    23.8,    25.2,    27.0,    22.7,    18.6,    64.8
Changi,2025,1,13,    81.4,    15.6,    26.4,    47.6,    24.5,    26.3,    22.7,    10.0,    35.2
Changi,2025,1,14,     6.8,     2.4,     2.6,     2.6,    25.6,    28.7,    24.0,    11.7,    44.4
Changi,2025,1,15,    41.0,    38.0,    41.0,    41.0,    25.5,    28.6,    23.0,     5.9,    38.9
Changi,2025,1,16,     1.4,     0.6,     0.8,     1.0,    26.8,    30.1,    24.6,    15.9,    53.7
Changi,2025,1,17,     1.4,     0.8,     0.8,     1.0,    26.6,    29.5,    25.1,    20.8,    57.4
Changi,2025,1,18,     1.8,     0.6,     0.6,     0.8,    26.5,    29.8,    24.7,    18.5,    55.6
Changi,2025,1,19,     8.2,     1.8,     3.0,     3.4,    25.9,    28.2,    24.5,    12.7,    48.2
Changi,2025,1,20,     0.2,     0.2,     0.2,     0.2,    26.6,    29.3,    24.8,    14.6,    40.7
Changi,2025,1,21,     2.6,     1.0,     1.2,     1.4,    25.4,    26.8,    24.3,    12.3,    46.3
Changi,2025,1,22,     0.2,     0.2,     0.2,     0.2,    26.1,    27.8,    24.9,    11.6,    37.0
Changi,2025,1,23,     1.2,     0.2,     0.4,     0.4,    25.9,    27.8,    24.7,     9.3,    31.5
Changi,2025,1,24,     6.4,     1.2,     2.2,     4.0,    25.5,    27.0,    24.7,     7.5,    31.5
Changi,2025,1,25,     0.0,     0.0,     0.0,     0.0,    27.1,    30.8,    24.7,     9.5,    33.3
Changi,2025,1,26,     0.0,     0.0,     0.0,     0.0,    27.3,    30.1,    25.4,    11.0,    38.9
Changi,2025,1,27,    11.0,     3.6,     4.4,     6.4,    25.3,    29.5,    23.2,    12.9,    40.7
Changi,2025,1,28,     0.0,     0.0,     0.0,     0.0,    26.6,    29.6,    25.3,    20.7,    51.9
Changi,2025,1,29,     0.0,     0.0,     0.0,     0.0,    26.4,    29.2,    24.9,    20.1,    57.4
Changi,2025,1,30,     0.0,     0.0,     0.0,     0.0,    26.6,    30.3,    24.1,    17.1,    51.9
Changi,2025,1,31,     0.0,     0.0,     0.0,     0.0,    26.4,    30.4,    23.4,    16.9,    44.4